,congested,theta_past_ma10
0,1,
1,1,26.0
2,1,26.5
3,1,26.0
4,1,25.0
5,1,23.8
6,1,23.0
7,1,22.428571428571427
8,1,22.125
9,1,22.333333333333332
10,1,22.6
11,1,22.2
12,1,21.3
13,1,21.0
14,1,21.3
15,1,21.5
16,1,21.8
17,1,21.9
18,1,21.8
19,1,21.1
20,1,20.4
21,1,20.4
22,1,20.6
23,1,20.3
24,1,19.5
25,1,19.3
26,1,19.1
27,1,19.0
28,1,18.8
29,1,18.8
30,1,18.7
31,1,17.9
32,1,17.6
33,1,17.6
34,1,17.9
35,1,17.9
36,1,17.6
37,1,17.6
38,1,17.8
39,1,17.9
40,1,17.9
41,1,18.1
42,1,18.0
43,1,17.7
44,1,17.3
45,1,17.3
46,1,17.6
47,1,17.5
48,1,17.1
49,1,17.2
50,1,17.6
51,1,17.8
52,1,18.1
53,1,18.1
54,1,18.1
55,1,17.7
56,1,17.3
57,1,17.6
58,1,18.1
59,1,18.3
60,1,18.1
61,1,19.2
62,1,20.5
63,1,22.3
64,1,23.5
65,1,25.0
66,1,26.4
67,1,27.1
68,1,28.1
69,1,29.8
70,1,31.8
71,1,32.7
72,1,32.7
73,1,33.7
74,1,35.8
75,1,37.1
76,1,37.9
77,1,38.6
78,1,39.2
79,1,38.2
80,1,37.2
81,1,37.3
82,1,38.0
83,1,37.5
84,1,35.7
85,1,35.2
86,1,35.0
87,1,34.8
88,1,34.3
89,1,34.6
90,1,35.0
91,1,34.0
92,1,32.9
93,1,32.7
94,1,33.1
95,1,32.8
96,1,32.0
97,1,32.2
98,1,32.7
99,1,32.9
100,1,32.8
101,1,32.9
102,1,33.2
103,1,32.4
104,1,31.6
105,1,31.8
106,1,32.5
107,1,32.4
108,1,31.4
109,1,31.5
110,1,31.8
111,1,32.0
112,1,32.2
113,1,32.6
114,1,32.9
115,1,32.2
116,1,31.6
117,1,31.7
118,1,32.6
119,1,32.5
120,1,31.9
121,1,32.2
122,1,32.5
123,1,32.6
124,1,33.0
125,1,33.2
126,1,33.4
127,1,32.7
128,1,32.2
129,1,32.8
130,1,33.5
131,1,33.8
132,1,33.2
133,1,33.5
134,1,33.8
135,1,34.3
136,1,34.7
137,1,35.2
138,1,35.6
139,1,34.7
140,1,34.2
141,1,34.1
142,1,34.8
143,1,34.7
144,1,34.1
145,1,34.1
146,1,34.4
147,1,34.8
148,1,35.2
149,1,35.6
150,1,35.8
151,1,34.9
152,1,34.1
153,1,34.3
