,theta,theta_past_ma10
0,26,
1,27,26.0
2,25,26.5
3,22,26.0
4,19,25.0
5,19,23.8
6,19,23.0
7,20,22.428571428571427
8,24,22.125
9,25,22.333333333333332
10,22,22.6
11,18,22.2
12,22,21.3
13,25,21.0
14,21,21.3
15,22,21.5
16,20,21.8
17,19,21.9
18,17,21.8
19,18,21.1
20,22,20.4
21,20,20.4
22,19,20.6
23,17,20.3
24,19,19.5
25,20,19.3
26,19,19.1
27,17,19.0
28,17,18.8
29,17,18.8
30,14,18.7
31,17,17.9
32,19,17.6
33,20,17.6
34,19,17.9
35,17,17.9
36,19,17.6
37,19,17.6
38,18,17.8
39,17,17.9
40,16,17.9
41,16,18.1
42,16,18.0
43,16,17.7
44,19,17.3
45,20,17.3
46,18,17.6
47,15,17.5
48,19,17.1
49,21,17.2
50,18,17.6
51,19,17.8
52,16,18.1
53,16,18.1
54,15,18.1
55,16,17.7
56,21,17.3
57,20,17.6
58,21,18.1
59,19,18.3
60,29,18.1
61,32,19.2
62,34,20.5
63,28,22.3
64,30,23.5
65,30,25.0
66,28,26.4
67,30,27.1
68,38,28.1
69,39,29.8
70,38,31.8
71,32,32.7
72,44,32.7
73,49,33.7
74,43,35.8
75,38,37.1
76,35,37.9
77,36,38.6
78,28,39.2
79,29,38.2
80,39,37.2
81,39,37.3
82,39,38.0
83,31,37.5
84,38,35.7
85,36,35.2
86,33,35.0
87,31,34.8
88,31,34.3
89,33,34.6
90,29,35.0
91,28,34.0
92,37,32.9
93,35,32.7
94,35,33.1
95,28,32.8
96,35,32.0
97,36,32.2
98,33,32.7
99,32,32.9
100,30,32.8
101,31,32.9
102,29,33.2
103,27,32.4
104,37,31.6
105,35,31.8
106,34,32.5
107,26,32.4
108,34,31.4
109,35,31.5
110,32,31.8
111,33,32.0
112,33,32.2
113,30,32.6
114,30,32.9
115,29,32.2
116,35,31.6
117,35,31.7
118,33,32.6
119,29,32.5
120,35,31.9
121,36,32.2
122,34,32.5
123,34,32.6
124,32,33.0
125,31,33.2
126,28,33.4
127,30,32.7
128,39,32.2
129,36,32.8
130,38,33.5
131,30,33.8
132,37,33.2
133,37,33.5
134,37,33.8
135,35,34.3
136,33,34.7
137,34,35.2
138,30,35.6
139,31,34.7
140,37,34.2
141,37,34.1
142,36,34.8
143,31,34.7
144,37,34.1
145,38,34.1
146,37,34.4
147,38,34.8
148,34,35.2
149,33,35.6
150,28,35.8
151,29,34.9
152,38,34.1
153,35,34.3
